page_id,page_name,disclaimer,amount_spent_ron,party,affil,label,notes,link_ad_library,link_fb_page
732931243476469,PSD Olt,PSD Olt,57975,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=732931243476469,https://www.facebook.com/732931243476469
1449284915381234,Ionel Bogdan,PNL Maramureş,56734,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1449284915381234,https://www.facebook.com/1449284915381234
338465666278028,Cristian Niculescu Țâgârlaș,PNL Maramureş,56509,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=338465666278028,https://www.facebook.com/338465666278028
203009253184238,Aurel Mohan,Infomed Pro SRL,55602,PSD,"pro-PSD, pro-candidate",political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=203009253184238,https://www.facebook.com/203009253184238
2145880628758364,Politic Report,Politic Report,54411,AUR,pro-Simion,proxy,name indicates media,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=2145880628758364,https://www.facebook.com/2145880628758364
526553594496566,Ramona Strugariu,Partidul Reînnoim Proiectul European al României - REPER,52412,REPER,"pro-REPER, pro-candidate",candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=526553594496566,https://www.facebook.com/526553594496566
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,52146,,anti-Lasconi,,"anti-Constantin, anti-ICA case?; name implies political investigators",https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=988607871174850,https://www.facebook.com/988607871174850
1738339926491503,Silviu Dehelean,Silviu Dehelean,51411,USR,"pro-Lasconi, pro-USR, pro-candidate",candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1738339926491503,https://www.facebook.com/1738339926491503
873737539404529,USR Timiș,USR Timiș,50482,USR,"pro-Lasconi, pro-USR",political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=873737539404529,https://www.facebook.com/873737539404529
133003303786721,USR Dâmbovița,USR Dâmbovița,47830,USR,pro-USR,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=133003303786721,https://www.facebook.com/133003303786721
209601305781641,Vasile Vlaşin,FRESH CLICK SRL,47296,Ind,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=209601305781641,https://www.facebook.com/209601305781641
1653726584879481,Mihai Fifor,PSD Arad,47085,PSD,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1653726584879481,https://www.facebook.com/1653726584879481
100752815283032,Anchetatorii.ro,Anchetatorii.RO,46560,,"pro-Simion, pro-GC  anti-Lasconi, anti-sistem",proxy,name indicates media. Should check dates on the ads to see changes in affiliation,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=100752815283032,https://www.facebook.com/100752815283032
108906777608808,Dumitrița Gliga,Partidul Social Democrat - Organizația Județeană Mureș,46386,PSD,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=108906777608808,https://www.facebook.com/108906777608808
104477911460614,Adrian Giurgiu,Adrian Giurgiu,45972,USR,"pro-USR, pro-candidate",candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=104477911460614,https://www.facebook.com/104477911460614
183575085437327,Ionut Catalin Stancu,Uniunea Salvați România - USR,45858,USR,"pro-USR, pro-candidate",candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=183575085437327,https://www.facebook.com/183575085437327
176989973158138,Guvernare.net,Guvernare.net,45621,,pro-Ciolacu?,media,"covers different topics, but only positive ads are about Marcel Ciolacu",https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=176989973158138,https://www.facebook.com/176989973158138
100904774712118,Mirela Matichescu,Partidul Social Democrat filiala Constanta,45482,PSD,pro-PSD,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=100904774712118,https://www.facebook.com/100904774712118
112664490103704,Salvăm România,Salvăm România,45235,,,proxy,"anti-Lasconi, anti-Geoana, anti-Simion, anti-Georgescu",https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=112664490103704,https://www.facebook.com/112664490103704
658948557465385,PSD Craiova,PSD DOLJ,44971,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=658948557465385,https://www.facebook.com/658948557465385
102859868737571,PSD Municipiul Constanța,Partidul Social Democrat Filiala Constanta,44562,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=102859868737571,https://www.facebook.com/102859868737571
1852885741703458,PSD Iasi,PSD Iasi,44065,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=1852885741703458,https://www.facebook.com/1852885741703458
684718025334579,Dumitru Văduva,USR Ilfov,43567,USR,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=684718025334579,https://www.facebook.com/684718025334579
400504303385362,PSD Suceava,PSD Suceava,42761,PSD,pro-PSD,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=400504303385362,https://www.facebook.com/400504303385362
123526378261795,Stiri Locale,Stiri Locale,42377,,,media,"no clear affiliation but some anti-Lasconi ads, anti-others",https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=123526378261795,https://www.facebook.com/123526378261795
557284874779877,Mihai Coteț,PNL Argeș,42306,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=557284874779877,https://www.facebook.com/557284874779877
112489633996646,Diana Cret,USR Satu Mare,41918,USR,"pro-Lasconi, pro-candidate",candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=112489633996646,https://www.facebook.com/112489633996646
104842045659467,REPER Cluj,REPER Cluj,40623,REPER,pro-REPER,political party,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=104842045659467,https://www.facebook.com/104842045659467
103932459326736,Valeriu Iftime,Partidul Național Liberal - filiala Botoșani,39994,PNL,pro-candidate,candidate,,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=RO&is_targeted_country=false&media_type=all&search_type=page&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&view_all_page_id=103932459326736,https://www.facebook.com/103932459326736
